Estación:       ACAPONETA,  NAY
Operada por:    SMN EMAS
Longitud:       105°23'07"  Latitud: 22°27'59"  Altitud: 29

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
25/01/2018 22:00       183       339      0.95     25.90      23.5        65    1011.8       0.0     107.8
25/01/2018 23:00       148       349      5.39     18.70      23.9        64    1011.9       0.0      92.8
26/01/2018 00:00        86         9      6.27     14.80      23.9        60    1012.1       0.0      16.7
26/01/2018 01:00        54         7      6.24     16.60      23.3        60    1012.5       0.0      -1.0
26/01/2018 02:00       290       342      3.79     14.80      22.7        64    1012.8       0.0      -0.8
26/01/2018 03:00       106        29      5.96     14.40      22.3        66    1013.0       0.0      -1.0
26/01/2018 04:00        63         7      9.14     16.20      22.4        64    1013.1       0.0      -1.0
26/01/2018 05:00       107        23      6.65     18.40      22.2        63    1013.2       0.0      -1.0
26/01/2018 06:00       134        15      5.68     16.90      22.0        63    1013.0       0.0      -1.0
26/01/2018 07:00       176       356      8.06     18.00      21.3        65    1012.7       0.0      -1.0
26/01/2018 08:00        63        15      2.88     17.30      20.6        68    1012.3       0.0      -1.0
26/01/2018 09:00        41         8      1.76     15.50      19.7        70    1011.5       0.0      -1.0
26/01/2018 10:00       249        30      1.78     16.60      19.6        69    1010.9       0.0      -1.0
26/01/2018 11:00       107        15      2.27     13.30      19.0        69    1010.8       0.0      -1.0
26/01/2018 12:00        59        71      4.22      6.50      17.3        76    1010.9       0.0      -1.0
26/01/2018 13:00       220       352      2.69     12.60      17.5        74    1011.3       0.0       0.7
26/01/2018 14:00        68        33      4.56     14.00      18.6        69    1011.9       0.0     101.2
26/01/2018 15:00       204        44      1.28     11.20      23.8        52    1012.5       0.0     295.3
26/01/2018 16:00       274       299      5.09     11.90      27.1        40    1013.1       0.0     477.3
26/01/2018 17:00       106        51      3.12     14.00      29.3        36    1012.8       0.0     625.5
26/01/2018 18:00       164       109      4.06     16.20      31.5        31    1011.7       0.0     721.8
26/01/2018 19:00       237       236      6.45     18.00      32.7        29    1010.6       0.0     750.0
26/01/2018 20:00       260       286      9.52     20.20      33.4        29    1009.3       0.0     707.0
26/01/2018 21:00       257       235     11.42     28.40      33.7        29    1008.4       0.0     599.0
26/01/2018 22:00       257       275     16.91     29.20      32.2        34    1008.1       0.0     444.8
26/01/2018 23:00       266       277     14.86     33.10      30.2        37    1008.3       0.0     228.0
27/01/2018 00:00       262       270      9.49     26.30      27.7        44    1008.6       0.0      49.0
27/01/2018 01:00       266       293      2.11     13.70      24.2        56    1009.2       0.0      -1.0
27/01/2018 02:00       210       164      1.08      5.40      20.5        71    1009.8       0.0      -1.0
27/01/2018 03:00       185       181      1.34      5.80      18.5        78    1010.2       0.0      -1.0
27/01/2018 04:00       130       121      0.84      5.00      16.9        84    1010.5       0.0      -1.0
27/01/2018 05:00        64        60      5.38     10.80      16.4        89    1010.7       0.0      -1.0
27/01/2018 06:00        77        79      4.29     10.40      16.1        89    1010.6       0.0      -1.0
27/01/2018 07:00        66        62      4.11      9.70      15.6        90    1010.4       0.0      -1.0
27/01/2018 08:00        63        52      0.79      8.60      15.5        90    1010.2       0.0      -1.0
27/01/2018 09:00        49        41      4.25      9.40      14.3        92    1009.8       0.0      -1.0
27/01/2018 10:00        74        31      3.07      8.30      13.3        94    1009.5       0.0      -1.0
27/01/2018 11:00        46        63      4.22      8.60      13.5        92    1009.3       0.0      -1.0
27/01/2018 12:00       188        22      0.94      9.40      12.6        93    1009.5       0.0      -1.0
27/01/2018 13:00       264       327      1.60      7.20      11.9        96    1010.1       0.0       0.0
27/01/2018 14:00       315       323      2.49      7.90      14.0        85    1010.8       0.0      94.7
27/01/2018 15:00       310       315      7.41     13.30      19.8        64    1011.4       0.0     294.2
27/01/2018 16:00       287       327      5.90     14.00      23.3        53    1011.7       0.0     492.7
27/01/2018 17:00       176       171      4.93     12.20      26.6        43    1011.6       0.0     645.5
27/01/2018 18:00       165       173      7.20     14.40      28.6        41    1010.8       0.0     731.7
27/01/2018 19:00       228       248      7.08     16.90      30.7        36    1009.5       0.0     760.8
27/01/2018 20:00       229       235     11.29     23.40      31.7        32    1008.2       0.0     714.0
27/01/2018 21:00       246       262     13.03     24.80      31.7        30    1007.3       0.0     607.8
27/01/2018 22:00       237       238     12.74     24.80      30.5        34    1006.9       0.0     452.2
27/01/2018 23:00       246       225      9.99     21.60      28.3        40    1007.1       0.0     233.7
28/01/2018 00:00       204       225      7.33     22.00      25.3        49    1007.5       0.0      52.3
28/01/2018 01:00       170       187      3.88      8.60      20.3        66    1007.9       0.0      -1.0
