07110 LFRB Brest Observations at 12Z 22 Dec 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1026.0     98   10.8   10.3     97   7.72    260      8  281.9  303.2  283.2
 1022.0    130   11.2    7.3     77   6.31    261      8  282.6  300.2  283.7
 1010.0    228   10.4    9.9     97   7.63    263      9  282.8  303.9  284.1
 1000.0    310   10.0    9.5     97   7.50    265      9  283.1  304.0  284.4
  925.0    955    6.6    6.0     96   6.38    285     11  286.1  304.1  287.1
  891.0   1262    5.0    4.4     96   5.92    292     12  287.5  304.4  288.5
  850.0   1645    3.4    3.0     97   5.62    300     14  289.7  305.9  290.7
  795.0   2187    1.2    1.1     99   5.24    316     16  292.9  308.4  293.9
  700.0   3206   -2.5   -6.8     72   3.30    345     21  299.7  309.9  300.3
  695.0   3263   -2.8   -7.3     71   3.19    345     21  300.0  309.9  300.6
  688.0   3343   -3.1   -8.1     68   3.03    346     21  300.5  310.0  301.1
  604.0   4361  -10.3  -16.3     61   1.78    356     27  303.6  309.4  303.9
  595.0   4476  -10.3  -21.3     40   1.18    357     27  304.9  308.8  305.1
  500.0   5790  -20.5  -31.5     37   0.55     10     34  308.0  309.9  308.1
  466.0   6306  -24.8  -35.8     35   0.39     15     37  308.9  310.4  309.0
  465.0   6322  -24.9  -35.9     35   0.39     15     37  309.0  310.4  309.0
  444.0   6656  -26.3  -45.3     15   0.15     15     36  311.3  311.9  311.3
  438.0   6755  -27.1  -47.1     13   0.13     15     35  311.5  312.0  311.5
  400.0   7400  -32.9  -45.9     26   0.16     15     33  312.1  312.8  312.2
  370.0   7943  -38.1  -47.1     38   0.15     16     31  312.3  312.9  312.3
  319.0   8946  -47.1  -56.1     35   0.06     19     26  313.3  313.6  313.3
  311.0   9113  -48.3  -57.3     34   0.05     20     25  313.9  314.1  313.9
  306.0   9220  -48.9  -57.9     34   0.05     20     25  314.5  314.7  314.5
  300.0   9350  -49.7  -58.7     34   0.05     20     26  315.2  315.4  315.2
  265.0  10146  -54.6  -63.6     32   0.03     15     33  319.4  319.5  319.4
  250.0  10520  -56.9  -65.9     31   0.02     25     45  321.4  321.4  321.4
  235.0  10904  -59.4  -68.4     30   0.02     40     58  323.4  323.4  323.4
  214.0  11485  -63.1  -72.1     29   0.01     30     50  326.3  326.4  326.3
  200.0  11900  -62.5  -72.5     25   0.01     20     45  333.6  333.7  333.6
  182.0  12487  -61.8  -74.1     18   0.01      5     37  343.9  344.0  343.9
  170.0  12911  -61.3  -75.2     14   0.01      0     49  351.6  351.6  351.6
  157.0  13406  -60.6  -76.5     11   0.01      5     26  360.7  360.7  360.7
  150.0  13690  -60.3  -77.3      9   0.01    345     27  366.0  366.0  366.0
  145.0  13901  -60.0  -77.9      8   0.01    325     28  370.0  370.1  370.0
  139.0  14165  -59.7  -78.7      7   0.01    341     27  375.1  375.1  375.1
  136.0  14299  -60.1  -79.7      6   0.01    350     26  376.7  376.8  376.7
  102.0  16070  -65.5  -93.5      1   0.00    355     30  398.6  398.6  398.6
  100.0  16190  -65.5  -93.5      1   0.00    355     30  400.9  400.9  400.9
   77.0  17773  -67.3  -94.5      1   0.00    355     23  428.3  428.3  428.3
   70.0  18350  -67.9  -94.9      1   0.00    335     26  438.8  438.8  438.8
   64.0  18885  -68.4  -95.2      1   0.00    315     28  449.0  449.0  449.0
   59.0  19371  -68.9  -95.4      1   0.00    330     26  458.5  458.5  458.5
   50.0  20360  -69.9  -95.9      1   0.00    320     23  478.4  478.4  478.4
   49.5  20420  -70.1  -96.1      1   0.00    319     23  479.3  479.3  479.3
   48.0  20601  -70.3  -96.3      1   0.00    315     22  483.0  483.0  483.0
   39.0  21824  -71.7  -97.7      1   0.00    290     35  509.0  509.0  509.0
   37.0  22134  -72.1  -98.1      1   0.00    305     48  515.8  515.8  515.8
   31.0  23177  -73.3  -99.3      1   0.00    320     33  539.2  539.3  539.2
   30.0  23370  -73.5  -99.5      1   0.00    315     32  543.7  543.7  543.7
   25.0  24433  -74.8 -100.0      1   0.00    290     26  569.0  569.0  569.0
   24.0  24671  -75.1 -100.1      1   0.00    289     31  574.9  574.9  574.9
   21.0  25446  -74.8  -99.8      1   0.00    285     49  598.1  598.1  598.1
   20.0  25730  -74.7  -99.7      1   0.00    290     47  606.8  606.8  606.8
   19.0  26030  -74.5  -99.5      1   0.00    300     45  616.3  616.3  616.3
   17.0  26681  -74.2  -99.2      1   0.00    280     39  637.3  637.3  637.3
   15.4  27259  -73.9  -98.9      1   0.00    292     51  656.5  656.5  656.5
   15.0  27415  -73.2  -98.5      1   0.00    295     54  663.9  663.9  663.9
   13.2  28172  -69.7  -96.7      1   0.00    293     50  700.5  700.6  700.5
   11.0  29261  -70.2  -96.6      1   0.00    290     44  736.1  736.1  736.1
   10.0  29830  -70.5  -96.5      1   0.00    290     51  755.4  755.4  755.4
    9.8  29950  -70.5  -96.5      1   0.00    290     53  759.8  759.8  759.8
    8.0  31184  -64.3  -92.2      1   0.01    285     76  829.6  829.7  829.6
    7.0  31996  -60.3  -89.3      1   0.02    285     69  878.5  878.8  878.5
    6.0  32958  -59.9  -89.6      1   0.02    285     61  920.0  920.4  920.0
    5.7  33278  -59.7  -89.7      1   0.02    281     71  934.3  934.6  934.3
    5.0  34102  -58.0  -88.0      1   0.03    270     97  977.7  978.2  977.7
    4.6  34626  -56.9  -86.9      1   0.05    270    107 1006.3 1007.0 1006.4
    4.3  35057  -55.4  -86.2      1   0.05    270    115 1032.9 1033.8 1032.9
    4.0  35518  -53.9  -85.5      1   0.07    270    115 1062.1 1063.2 1062.1
   32.0  23590  -52.7  -89.7      0   0.00                589.4  589.4  589.4
   10.8  30131  -82.1  -85.3     58   0.03                696.7  696.9  696.7

