07110 LFRB Brest Observations at 12Z 22 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1006.0     98   21.2   14.2     64  10.21    295      5  293.9  323.3  295.6
 1000.0    146   19.2   14.2     73  10.28    290      6  292.4  321.8  294.2
  999.0    155   18.8   13.9     73  10.09    290      6  292.0  320.9  293.8
  925.0    809   12.6   11.3     92   9.17    280     17  292.2  318.5  293.8
  904.0   1001   10.6   10.3     98   8.77    276     21  292.1  317.2  293.6
  873.0   1295   16.0    2.0     39   5.09    270     26  300.6  316.1  301.5
  861.0   1413   15.8    7.8     59   7.77    267     28  301.6  324.9  303.0
  850.0   1522   15.4    7.4     59   7.65    265     30  302.3  325.4  303.7
  811.0   1920   14.2    8.2     67   8.48    255     37  305.1  330.9  306.6
  800.0   2036   14.6    6.6     59   7.70    253     39  306.7  330.3  308.1
  789.0   2153   15.2   -0.8     33   4.60    250     41  308.6  323.1  309.4
  734.0   2760   10.1    4.5     68   7.24    235     51  309.4  331.9  310.8
  731.0   2794    9.8    4.8     71   7.43    235     51  309.4  332.5  310.8
  726.0   2851    9.2    4.6     73   7.38    236     50  309.4  332.3  310.8
  707.0   3071    8.8  -13.2     20   1.97    239     48  311.3  317.9  311.7
  700.0   3153    8.4  -13.6     20   1.92    240     47  311.8  318.2  312.1
  599.0   4416    0.3  -24.0     14   0.92    245     36  316.6  319.9  316.8
  574.0   4762   -1.9  -26.9     13   0.74    246     37  317.9  320.6  318.0
  500.0   5840  -11.7  -27.7     25   0.79    250     39  318.7  321.6  318.9
  495.0   5917  -12.5  -28.5     25   0.74    250     39  318.6  321.3  318.8
  472.0   6278  -14.1  -33.1     18   0.50    253     40  321.0  322.9  321.1
  400.0   7510  -23.5  -41.5     18   0.25    260     42  324.4  325.4  324.4
  398.0   7547  -23.7  -41.7     17   0.25    260     42  324.6  325.6  324.6
  376.0   7959  -27.5  -34.5     51   0.55    262     43  324.9  326.9  325.0
  342.0   8628  -32.8  -41.0     44   0.31    265     45  326.6  327.9  326.7
  322.0   9054  -36.1  -45.1     39   0.21    263     49  327.7  328.5  327.7
  313.0   9249  -37.9  -45.9     43   0.20    262     51  327.8  328.6  327.9
  300.0   9540  -40.3  -48.3     42   0.16    260     54  328.4  329.1  328.5
  263.0  10421  -47.7  -53.3     52   0.10    255     64  330.2  330.7  330.3
  250.0  10760  -50.5  -55.2     57   0.09    260     60  330.9  331.2  330.9
  231.0  11268  -54.9  -58.6     63   0.06    262     54  331.7  332.0  331.7
  207.0  11963  -56.9  -63.9     41   0.03    265     46  339.1  339.3  339.2
  200.0  12180  -56.3  -64.3     36   0.03    265     44  343.4  343.6  343.5
  168.0  13293  -53.3  -71.3      9   0.02    269     31  366.0  366.1  366.0
  167.0  13332  -53.5  -72.5      8   0.01    269     31  366.3  366.4  366.3
  159.0  13647  -54.0  -73.0      8   0.01    270     27  370.7  370.8  370.7
  150.0  14020  -54.5  -73.5      8   0.01    260     34  376.0  376.0  376.0
  145.0  14235  -54.8  -74.7      7   0.01    250     38  379.1  379.2  379.1
  119.0  15487  -56.4  -81.7      3   0.00    275     34  398.1  398.1  398.1
  109.0  16044  -57.2  -84.8      2   0.00    265     17  406.8  406.9  406.8
  100.0  16590  -57.9  -87.9      1   0.00    260     29  415.6  415.6  415.6
   95.0  16912  -58.2  -88.2      1   0.00    280     24  421.2  421.2  421.2
   84.0  17685  -58.8  -88.8      1   0.00    265     23  434.9  434.9  434.9
   71.7  18680  -59.7  -89.7      1   0.00    348      3  453.2  453.2  453.2
   70.0  18830  -59.3  -89.3      1   0.00      0      0  457.2  457.2  457.2
   54.0  20470  -55.3  -86.3      1   0.00    112      5  501.6  501.6  501.6
   50.0  20960  -55.9  -86.9      1   0.00    145      7  511.3  511.3  511.3
   48.4  21167  -56.1  -87.1      1   0.00    157      8  515.6  515.6  515.6
   48.0  21219  -56.1  -87.1      1   0.00    160      8  516.8  516.8  516.8
   42.7  21961  -56.5  -86.5      1   0.01    140      7  533.4  533.5  533.4
   40.7  22267  -53.9  -84.9      1   0.01    131      7  547.3  547.3  547.3
   35.1  23213  -55.5  -86.5      1   0.01    106      6  566.7  566.8  566.7
   35.0  23231  -55.4  -86.5      1   0.01    105      6  567.4  567.4  567.4
   33.0  23609  -54.2  -85.6      1   0.01    105     19  580.4  580.4  580.4
   30.0  24220  -52.1  -84.1      1   0.01     55     10  602.0  602.1  602.0
   29.9  24242  -52.1  -84.1      1   0.01     53     10  602.6  602.7  602.6
   27.0  24902  -51.9  -83.9      1   0.01      0      0  621.0  621.1  621.0
   25.0  25400  -51.7  -83.7      1   0.01     60     22  635.2  635.4  635.2
   22.2  26168  -51.5  -83.5      1   0.02     63     25  657.9  658.0  657.9
   21.0  26531  -49.5  -82.0      1   0.02     65     26  674.5  674.7  674.5
   20.0  26850  -47.7  -80.7      1   0.03     80     24  689.4  689.7  689.4
   16.8  28018  -41.5  -76.5      1   0.07    139     15  744.5  745.3  744.6
   16.0  28349  -41.6  -76.6      1   0.07    155     13  754.6  755.4  754.7
   15.0  28786  -41.8  -76.8      1   0.07    115     20  768.2  769.0  768.2
   13.0  29757  -42.1  -77.1      1   0.08    120     21  799.1  800.1  799.2
   12.9  29809  -42.1  -77.1      1   0.08    112     20  800.8  801.8  800.9
   12.0  30304  -40.9  -76.4      1   0.10     35      6  822.0  823.1  822.0
   11.0  30898  -39.4  -75.6      1   0.12    110     20  848.1  849.6  848.2
   10.0  31550  -37.7  -74.7      1   0.15     90     13  877.7  879.6  877.7
    8.0  33112  -33.9  -71.9      1   0.29     90     36  950.7  954.6  950.8
    7.0  34047  -31.6  -70.2      1   0.42    110     27  997.1 1003.0  997.4
